"","mu_vec","c_vec_1","c_vec_10","c_vec_50","c_vec_100","c_vec_1000"
"1",0.1,1,1.78948629616595,2.41579671713511,2.67165273204751,3.420770035442
"2",1,1,1.33279041457206,1.85904849680417,2.10021824802451,2.85873768869584
"3",10,0.999999999999998,0.974800352389826,1.2607443506314,1.45861828125873,2.20940143274991
"4",50,0.999999999999984,0.979995983978258,0.987405040719701,1.08351347010095,1.71383951573593
"5",100,0.999999999999906,0.991541152580266,0.958607435570799,0.991339785395681,1.50365216454243
"6",200,0.999589687902226,0.995762447718779,0.972081902505138,0.959564492857304,1.30864872401406
"7",500,0.99983301259715,0.998300019864795,0.990622620549343,0.978209088605391,1.09895758224397
"8",1000,0.999916586644801,0.999158514964663,0.995609729247023,0.990617025867555,0.998774743191044
"9",2000,0.999958313348254,0.999581316431062,0.99786403314526,0.995609727441037,0.961916667194866
"10",4000,0.999979161673674,0.999791165006631,0.998945528999671,0.997864033146177,0.97228367514034
